essay,id
"The painter dropped, but the water from picture's river became true. It holded him. The worker was surprised and told to the king. The painter didn't know why too. But he become a superman from then on. The king was worned that the painter will become the new King and he will be nothing. So the king want to kill him. The King asked the army to kill him. But the painter drew many soldiers. Even more than all people in the country. The painter won easily. He become the king.",09459a416e13e24d370a7c1beb2f88d4
"Hong Kong is in the south of China, just across the Shenzhen. It is one of the largest cities in the world. Every year , there are very more visitors will have a sightseeing in Hong Kong, because it is a shopping paradise, many people like go shopping in Hong Kong. And there a many interesting places, such as the Ocean Park and the Hong Kong  Disneyland, the most interesting places are the Ocean Park and the Hong Kong Disneyland, there are many interesting things in they, you can see a dophing show in the Ocean Park, . You can buy and have many delicious food if you want, because Hong Kong is also the delicious food paradise, has many delicious food.
You will have a wonderful time in Hong Kong.",094e496402f9978f71a3cc97fd1d3659
"The worker saw Mr Field fell off from the pedal. At the same time, Mr Field pulled out the painting pens and made a mess on the wall. He was so angry that his careless. The painting on the wall became worse and worse. After a minute. He thought,"" I can use my inteligence to draw another beautiful picture on this wall. It is fantastic, "" After his thinking, he used his painting pens to draw another painting. It was a field in autumn. 
Look ! What a great painter!",09517df42f94ba6030ac643808c585fb
"The worker want help Mr field. He use the brush throw to the picture. Mar field go to the picture to look it。 pedal turn buck want fall of the pedal. Mr Field go to saw he picture, he not turn backs. So Mr field is not fall of.
       The worker help he to use brush , the worker is wise man.",0986adce0ff0d775f1f3ee83ed3dd4ba
"Dear Riky
I'm glad to receive you letter Now let me introduce the seasons in Shenzhen to you
In spring. In March pear blossm can be sen in Jiuxiang a small town in Hanyuan weather wet.
 In summer leaves at gingko trees turn",0a7769676bf3526a01c5c043e6432e75
,0de1683f5f674e0b1f9847c847c8cd85
"Wang Fang and Li Hua. We talk Wang Fang first He is a good student. Because he has a lot of good habits. He never stay up and he always gets up early. He always finishes homework on time. He always helps with the housework. He seldom walks to school.
       Then we talk, Li Hua. He usually staies up, this is a bad habit. He never finishes homework on time. That's bad, too. He usually walks to school. He Sometime takes car. He seldom helps with the housework. This is my friends.",095dab28b2d6cc9b7e959cd74dd81971
"I have two friends. They are Wang Fang and Li Hua. They are my best friends. 
       Every day, Wang Fang always finishs her homework on time but Li Hua doesn't. He never finishs his homework on time. Wang Fang always helps people with the housework and Li Hua doesn't, either. Li Hua seldom does sit. Wang Fang seldom goes to school on foot because her home isn't close to school. Li Hua usually walks to school because his home is close to school. Wang Fang never stays up. LiHua usually stays up. They are Wang Fang and Li Hua's daily life.",09720df658baeb1f0d374ee728a6b9b4
"Dear Ricky, 
I'm glad to receive your letter. Now let me introduce the seasons in Shenzhen to you.
In spring. The weather is start to get warm. It is very wet. In summer. The day are very long. It is very hot. There is sometimes rains. I don't like summer. In autumn. It is cool and dry. And sometimes sunny. In winter. The weather is the best cold in Shenzhen. It's can't snow everywhere. But I love winter. 
Yours,
Li Ming",097fbca90b4a62bcb82bb0c89618a5c0
"My dream
Hello, everyone! My dream is to be an astronaut. I will go to the Moon. Because, I feel the space is very interesting and I want to know don't have gravity people how to live? I will by spaceship to the Moon. When I arrive, I'm going to wear a spacesuit to help me breathe , because there is no air in the space. I must do exercises every day. I will walk on the Moon, I will take as many photos as I can. If my camera still work... I will read lots of about space books and see lots of about space film. I will do exercises every day. Because when I arrive the Moon, I will be weak. I will do these to finish my dream. I think as long as I hard work. I'll realize my dream.",0986d0a37dcacf2a9ae2b7ad35b20d9f
